Date,Open,High,Low,Close,Adj Close,Volume
2015-11-09,206.500000,207.059998,202.440002,202.539993,183.584976,274892300
2015-11-16,202.320007,210.119995,202.179993,209.309998,189.721420,542343400
2015-11-23,209.380005,209.979996,207.410004,209.559998,189.948029,253103500
2015-11-30,209.750000,211.000000,204.750000,209.619995,190.002411,678260500
2015-12-07,209.229996,209.729996,201.509995,201.880005,182.986755,695103200
2015-12-14,202.070007,208.479996,199.830002,200.020004,181.300842,957957800
2015-12-21,201.410004,206.330002,200.089996,205.679993,187.540649,369647300
2015-12-28,204.860001,207.789993,203.869995,203.869995,185.890274,336736200
2016-01-04,200.490005,201.899994,191.580002,191.919998,174.994186,908565200
2016-01-11,193.009995,194.860001,185.520004,187.809998,171.246658,1147082700
2016-01-18,189.960007,190.759995,181.020004,190.520004,173.717667,845884700
2016-01-25,189.919998,193.880005,187.059998,193.720001,176.635452,811418300
2016-02-01,192.529999,194.580002,187.100006,187.949997,171.374344,844001500
2016-02-08,185.770004,188.339996,181.089996,186.630005,170.170731,870945200
2016-02-15,188.770004,193.320007,187.630005,192.000000,175.067154,473396200
2016-02-22,193.869995,196.679993,189.320007,195.089996,177.884598,606469800
2016-02-29,195.110001,201.350006,193.330002,200.429993,182.753677,594598600
2016-03-07,199.339996,202.809998,197.380005,202.759995,184.878204,613798300
2016-03-14,202.160004,205.229996,201.050003,204.380005,186.355316,568735200
2016-03-21,204.070007,205.229996,201.740005,203.119995,186.161667,335812000
2016-03-28,203.610001,207.139999,202.399994,206.919998,189.644394,450704000
2016-04-04,206.830002,207.070007,203.089996,204.500000,187.426422,463898600
2016-04-11,205.250000,208.600006,203.699997,207.779999,190.432602,436419000
2016-04-18,207.779999,210.919998,207.000000,208.970001,191.523270,436894100
2016-04-25,208.259995,209.809998,205.029999,206.330002,189.103653,459000400
2016-05-02,206.919998,208.179993,203.880005,205.720001,188.544601,417788100
2016-05-09,205.570007,208.539993,204.380005,204.759995,187.664734,419635000
2016-05-16,204.960007,207.339996,202.779999,205.490005,188.333801,532894700
2016-05-23,205.509995,210.250000,204.990005,210.240005,192.687210,348333700
2016-05-30,210.559998,210.929993,208.860001,210.279999,192.723907,344617400
2016-06-06,210.699997,212.520004,209.429993,210.070007,192.531448,379648800
2016-06-13,209.360001,210.369995,205.589996,206.520004,189.277817,618523800
2016-06-20,208.820007,210.869995,202.720001,203.240005,187.240356,686987600
2016-06-27,201.589996,210.490005,198.649994,209.919998,193.394501,798564000
2016-07-04,208.949997,212.940002,207.059998,212.649994,195.909546,425390000
2016-07-11,213.190002,217.009995,212.949997,215.830002,198.839203,460619900
2016-07-18,215.970001,217.369995,215.630005,217.240005,200.138214,301795900
2016-07-25,217.000000,217.539993,215.619995,217.119995,200.027649,354592600
2016-08-01,217.190002,218.229996,214.250000,218.179993,201.004227,338078200
2016-08-08,218.399994,218.940002,217.229996,218.460007,201.262161,282917100
2016-08-15,218.889999,219.500000,217.020004,218.539993,201.335892,306593700
2016-08-22,218.259995,219.600006,216.250000,217.289993,200.184280,378228000
2016-08-29,217.440002,218.869995,216.029999,218.369995,201.179276,391024300
2016-09-05,218.699997,219.220001,213.250000,213.279999,196.489960,428949000
2016-09-12,212.389999,216.809998,212.309998,213.369995,196.572861,774789500
2016-09-19,214.130005,217.529999,213.029999,215.990005,199.991791,410509800
2016-09-26,215.020004,217.119995,213.619995,216.300003,200.278824,501006600
2016-10-03,215.820007,216.300003,213.990005,215.039993,199.112167,428991900
2016-10-10,216.160004,216.699997,211.210007,213.119995,197.334381,450791700
2016-10-17,213.089996,214.639999,212.169998,213.979996,198.130661,364393500
2016-10-24,215.000000,215.320007,211.710007,212.539993,196.797333,420237800
2016-10-31,212.929993,213.190002,208.380005,208.550003,193.102814,485446500
2016-11-07,208.550003,218.309998,208.550003,216.419998,200.389908,747662000
2016-11-14,217.029999,219.270004,215.720001,218.500000,202.315857,407913300
2016-11-21,219.169998,221.559998,219.000000,221.520004,205.112183,234324100
2016-11-28,221.160004,221.820007,219.149994,219.679993,203.408447,413631800
2016-12-05,220.649994,226.529999,220.419998,226.509995,209.732544,426173500
2016-12-12,226.399994,228.339996,224.669998,225.039993,208.371429,636388200
2016-12-19,225.250000,226.570007,224.919998,225.710007,210.223648,341005800
2016-12-26,226.020004,226.729996,222.729996,223.529999,208.193207,264461900
2017-01-02,225.039993,227.750000,223.880005,227.210007,211.620728,320049800
2017-01-09,226.910004,227.449997,224.960007,227.050003,211.471741,320192700
2017-01-16,226.309998,227.309998,225.410004,226.740005,211.182983,311811500
2017-01-23,226.740005,229.710007,225.270004,228.970001,213.259964,374736400
2017-01-30,228.169998,229.550003,226.320007,229.339996,213.604584,384956600
2017-02-06,228.869995,231.770004,228.309998,231.509995,215.625671,299258600
2017-02-13,232.080002,235.160004,232.050003,235.089996,218.960068,375003400
2017-02-20,235.520004,236.899994,235.410004,236.740005,220.496857,308058800
2017-02-27,236.639999,240.320007,236.020004,238.419998,222.061600,454855800
2017-03-06,237.500000,238.119995,235.740005,237.690002,221.381683,371339600
2017-03-13,237.619995,239.440002,236.190002,237.029999,220.766953,380565500
2017-03-20,237.029999,237.610001,232.960007,233.860001,218.762039,494830700
2017-03-27,231.929993,236.520004,231.610001,235.740005,220.520676,373359800
2017-04-03,235.800003,237.389999,233.910004,235.199997,220.015549,394361400
2017-04-10,235.360001,236.259995,232.509995,232.509995,217.499191,330405400
2017-04-17,233.110001,235.850006,232.880005,234.589996,219.444916,423293100
2017-04-24,237.179993,239.529999,234.559998,238.080002,222.709595,401553800
2017-05-01,238.679993,239.720001,237.699997,239.699997,224.225052,320859900
2017-05-08,239.750000,240.190002,238.130005,238.979996,223.551514,270313700
2017-05-15,239.470001,240.669998,235.429993,238.309998,222.924744,507393900
2017-05-22,238.899994,242.080002,238.820007,241.710007,226.105255,266981600
2017-05-29,241.339996,244.350006,240.639999,244.169998,228.406433,284626000
2017-06-05,243.970001,245.009995,241.949997,243.410004,227.695496,347425600
2017-06-12,243.130005,244.869995,241.630005,242.639999,226.975204,375795400
2017-06-19,243.589996,244.729996,242.410004,243.130005,228.542709,289142700
2017-06-26,243.899994,244.380005,239.960007,241.800003,227.292465,402761200
2017-07-03,242.880005,243.380005,240.339996,242.110001,227.583878,216954500
2017-07-10,242.110001,245.970001,240.850006,245.559998,230.826874,246362600
2017-07-17,245.470001,247.419998,244.669998,246.880005,232.067719,256784700
2017-07-24,246.789993,248.000000,245.679993,246.910004,232.095917,269968300
2017-07-31,247.369995,247.789993,246.369995,247.410004,232.565887,269148100
2017-08-07,247.490005,248.910004,243.699997,244.119995,229.473267,351696400
2017-08-14,245.589996,247.570007,242.199997,242.710007,228.147903,450488500
2017-08-21,242.639999,245.619995,241.830002,244.559998,229.886871,294001200
2017-08-28,245.169998,248.330002,242.929993,247.839996,232.970108,319543000
2017-09-04,247.259995,247.520004,244.949997,246.580002,231.785675,271183200
2017-09-11,248.039993,250.320007,248.020004,249.190002,234.239105,378367500
2017-09-18,249.610001,250.190002,248.919998,249.440002,235.637726,252342800
2017-09-25,249.149994,251.320007,248.080002,251.229996,237.328705,322504600
2017-10-02,251.490005,254.699997,251.289993,254.369995,240.294952,325955600
2017-10-09,254.630005,255.270004,253.649994,254.949997,240.842850,228400300
2017-10-16,255.210007,257.140015,254.350006,257.109985,242.883347,261751200
2017-10-23,257.480011,257.890015,254.000000,257.709991,243.450104,389927000
2017-10-30,256.470001,258.500000,256.190002,258.450012,244.149200,284832400
2017-11-06,258.299988,259.350006,256.359985,258.089996,243.809067,312694600
2017-11-13,257.309998,259.040009,255.630005,257.859985,243.591797,335889100
2017-11-20,258.140015,260.480011,257.859985,260.359985,245.953445,190142200
2017-11-27,260.410004,266.049988,260.000000,264.459991,249.826630,521044000
2017-12-04,266.309998,266.799988,262.709991,265.510010,250.818558,401716200
2017-12-11,266.309998,267.559998,265.390015,266.510010,251.763214,516455700
2017-12-18,268.100006,268.600006,266.690002,267.510010,253.999603,388541200
